"GEO_ID","NAME","B992512_001E","B992512_001EA","B992512_002E","B992512_002EA","B992512_003E","B992512_003EA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!Allocated","Annotation of Estimate!!Total:!!Allocated","Estimate!!Total:!!Not allocated","Annotation of Estimate!!Total:!!Not allocated",
"1500000US470650112043","Block Group 3, Census Tract 112.04, Hamilton County, Tennessee","579","null","48","null","531","null",
"1500000US470650112044","Block Group 4, Census Tract 112.04, Hamilton County, Tennessee","452","null","0","null","452","null",
"1500000US470650112051","Block Group 1, Census Tract 112.05, Hamilton County, Tennessee","732","null","0","null","732","null",
"1500000US470650112052","Block Group 2, Census Tract 112.05, Hamilton County, Tennessee","557","null","0","null","557","null",
"1500000US470650112053","Block Group 3, Census Tract 112.05, Hamilton County, Tennessee","810","null","129","null","681","null",
"1500000US470650112054","Block Group 4, Census Tract 112.05, Hamilton County, Tennessee","431","null","0","null","431","null",
"1500000US470650112061","Block Group 1, Census Tract 112.06, Hamilton County, Tennessee","333","null","0","null","333","null",
"1500000US470650112062","Block Group 2, Census Tract 112.06, Hamilton County, Tennessee","719","null","0","null","719","null",
"1500000US470650112063","Block Group 3, Census Tract 112.06, Hamilton County, Tennessee","1122","null","0","null","1122","null",
"1500000US470650113111","Block Group 1, Census Tract 113.11, Hamilton County, Tennessee","485","null","10","null","475","null",
"1500000US470650113112","Block Group 2, Census Tract 113.11, Hamilton County, Tennessee","796","null","15","null","781","null",
"1500000US470650113113","Block Group 3, Census Tract 113.11, Hamilton County, Tennessee","565","null","18","null","547","null",
"1500000US470650113114","Block Group 4, Census Tract 113.11, Hamilton County, Tennessee","353","null","0","null","353","null",
"1500000US470650113115","Block Group 5, Census Tract 113.11, Hamilton County, Tennessee","293","null","0","null","293","null",
"1500000US470650113116","Block Group 6, Census Tract 113.11, Hamilton County, Tennessee","1239","null","0","null","1239","null",
"1500000US470650113141","Block Group 1, Census Tract 113.14, Hamilton County, Tennessee","421","null","5","null","416","null",
"1500000US470650113142","Block Group 2, Census Tract 113.14, Hamilton County, Tennessee","1170","null","0","null","1170","null",
"1500000US470650113143","Block Group 3, Census Tract 113.14, Hamilton County, Tennessee","375","null","0","null","375","null",
"1500000US470650113211","Block Group 1, Census Tract 113.21, Hamilton County, Tennessee","531","null","0","null","531","null",
"1500000US470650113212","Block Group 2, Census Tract 113.21, Hamilton County, Tennessee","730","null","0","null","730","null",
"1500000US470650113213","Block Group 3, Census Tract 113.21, Hamilton County, Tennessee","672","null","63","null","609","null",
"1500000US470650113214","Block Group 4, Census Tract 113.21, Hamilton County, Tennessee","1188","null","0","null","1188","null",
"1500000US470650113231","Block Group 1, Census Tract 113.23, Hamilton County, Tennessee","878","null","0","null","878","null",
"1500000US470650113232","Block Group 2, Census Tract 113.23, Hamilton County, Tennessee","261","null","0","null","261","null",
"1500000US470650113233","Block Group 3, Census Tract 113.23, Hamilton County, Tennessee","452","null","0","null","452","null",
"1500000US470650113234","Block Group 4, Census Tract 113.23, Hamilton County, Tennessee","943","null","0","null","943","null",
"1500000US470650113241","Block Group 1, Census Tract 113.24, Hamilton County, Tennessee","550","null","0","null","550","null",
"1500000US470650113242","Block Group 2, Census Tract 113.24, Hamilton County, Tennessee","1033","null","6","null","1027","null",
"1500000US470650113251","Block Group 1, Census Tract 113.25, Hamilton County, Tennessee","487","null","10","null","477","null",
"1500000US470650113252","Block Group 2, Census Tract 113.25, Hamilton County, Tennessee","360","null","0","null","360","null",
"1500000US470650113253","Block Group 3, Census Tract 113.25, Hamilton County, Tennessee","317","null","18","null","299","null",
"1500000US470650113254","Block Group 4, Census Tract 113.25, Hamilton County, Tennessee","1010","null","0","null","1010","null",
"1500000US470650113261","Block Group 1, Census Tract 113.26, Hamilton County, Tennessee","1587","null","0","null","1587","null",
"1500000US470650113262","Block Group 2, Census Tract 113.26, Hamilton County, Tennessee","436","null","0","null","436","null",
"1500000US470650113263","Block Group 3, Census Tract 113.26, Hamilton County, Tennessee","641","null","0","null","641","null",
"1500000US470650114021","Block Group 1, Census Tract 114.02, Hamilton County, Tennessee","659","null","0","null","659","null",
"1500000US470650114022","Block Group 2, Census Tract 114.02, Hamilton County, Tennessee","636","null","0","null","636","null",
"1500000US470650114023","Block Group 3, Census Tract 114.02, Hamilton County, Tennessee","647","null","12","null","635","null",
"1500000US470650114024","Block Group 4, Census Tract 114.02, Hamilton County, Tennessee","561","null","0","null","561","null",
"1500000US470650114111","Block Group 1, Census Tract 114.11, Hamilton County, Tennessee","345","null","0","null","345","null",
"1500000US470650114112","Block Group 2, Census Tract 114.11, Hamilton County, Tennessee","581","null","0","null","581","null",
"1500000US470650114113","Block Group 3, Census Tract 114.11, Hamilton County, Tennessee","855","null","0","null","855","null",
"1500000US470650114131","Block Group 1, Census Tract 114.13, Hamilton County, Tennessee","765","null","26","null","739","null",
"1500000US470650114132","Block Group 2, Census Tract 114.13, Hamilton County, Tennessee","1123","null","0","null","1123","null",
"1500000US470650114133","Block Group 3, Census Tract 114.13, Hamilton County, Tennessee","591","null","0","null","591","null",
"1500000US470650114134","Block Group 4, Census Tract 114.13, Hamilton County, Tennessee","490","null","0","null","490","null",
"1500000US470650114135","Block Group 5, Census Tract 114.13, Hamilton County, Tennessee","429","null","0","null","429","null",
"1500000US470650114421","Block Group 1, Census Tract 114.42, Hamilton County, Tennessee","558","null","19","null","539","null",
"1500000US470650114422","Block Group 2, Census Tract 114.42, Hamilton County, Tennessee","592","null","34","null","558","null",
"1500000US470650114441","Block Group 1, Census Tract 114.44, Hamilton County, Tennessee","629","null","0","null","629","null",
"1500000US470650114442","Block Group 2, Census Tract 114.44, Hamilton County, Tennessee","916","null","19","null","897","null",
"1500000US470650114451","Block Group 1, Census Tract 114.45, Hamilton County, Tennessee","204","null","0","null","204","null",
"1500000US470650114452","Block Group 2, Census Tract 114.45, Hamilton County, Tennessee","641","null","0","null","641","null",
"1500000US470650114453","Block Group 3, Census Tract 114.45, Hamilton County, Tennessee","425","null","28","null","397","null",
"1500000US470650114454","Block Group 4, Census Tract 114.45, Hamilton County, Tennessee","691","null","0","null","691","null",
"1500000US470650114461","Block Group 1, Census Tract 114.46, Hamilton County, Tennessee","1022","null","0","null","1022","null",
"1500000US470650114462","Block Group 2, Census Tract 114.46, Hamilton County, Tennessee","0","null","0","null","0","null",
"1500000US470650114463","Block Group 3, Census Tract 114.46, Hamilton County, Tennessee","1023","null","0","null","1023","null",
"1500000US470650114471","Block Group 1, Census Tract 114.47, Hamilton County, Tennessee","115","null","27","null","88","null",
"1500000US470650114472","Block Group 2, Census Tract 114.47, Hamilton County, Tennessee","787","null","0","null","787","null",
